IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
77,FOCMID,BSE FOCUSED MIDCAP,24178.52,24215.73,24509.37,24199.23,24430.42,25388.27,18935.55,,,,
78,BBGEFS,BSE SEL BUSINESS GRP,4463.42,4476.24,4518.51,4470.70,4474.58,4687.06,3533.92,,,,
79,SENEQW,BSE SENSEX EQUAL WGT,81856.86,82027.53,82545.01,81763.75,81850.52,83619.07,68200.80,,,,
80,SELIPO,BSE Select IPO,4485.00,4481.64,4498.82,4448.29,4453.43,5071.31,3784.03,,,,
81,PSUBNK,BSE PSU BANK,5053.18,5057.38,5142.94,5056.63,5109.54,5142.94,3245.90,,,,
82,INSLDR,BSE INDIA SECT LEADER,15202.68,15247.06,15304.99,15166.15,15195.30,15661.02,13171.67,,,,
83,BS1000,BSE 1000,10907.65,10923.74,10991.16,10901.28,10912.54,11234.91,9066.73,,,,
89,QUAL50,BSE 500 QUALITY 50,21571.72,21651.01,21763.34,21528.56,21580.27,22148.58,20616.67,,,,
90,IND150,BSE INDIA 150,19182.91,19221.27,19352.51,19195.03,19220.56,19711.88,17474.55,,,,
93,MOME50,BSE 500 MOMENTUM 50,43738.93,43692.73,44111.86,43672.93,43795.97,45127.30,40653.28,,,,
